,CARMA,GEO
0,6006.0,498.0
1,6009.0,500.0
2,10445.0,771.0
3,17185.0,1277.0
4,19697.0,1435.0
5,51.0,4.0
6,496.0,34.0
7,692.0,51.0
8,752.0,742.0
9,980.0,70.0
10,1999.0,146.0
11,2382.0,157.0
12,2742.0,193.0
13,4847.0,376.0
14,5071.0,388.0
15,5177.0,425.0
16,5909.0,488.0
17,5944.0,492.0
18,6417.0,523.0
19,6523.0,529.0
20,6852.0,547.0
21,7326.0,582.0
22,7968.0,593.0
23,8484.0,632.0
24,8882.0,660.0
25,9064.0,1199.0
26,9174.0,1319.0
27,9406.0,696.0
28,9537.0,710.0
29,9744.0,697.0
30,9993.0,739.0
31,9994.0,740.0
32,10116.0,754.0
33,10624.0,786.0
34,10673.0,791.0
35,10817.0,809.0
36,10826.0,810.0
37,11656.0,887.0
38,11657.0,888.0
39,11996.0,920.0
40,12090.0,931.0
41,12093.0,933.0
42,13172.0,1501.0
43,13641.0,1018.0
44,14036.0,1041.0
45,14321.0,1057.0
46,14534.0,1074.0
47,15830.0,1172.0
48,15993.0,1192.0
49,16127.0,1201.0
50,16530.0,1236.0
51,16918.0,1256.0
52,16942.0,1257.0
53,17304.0,1284.0
54,18734.0,1376.0
55,19180.0,1409.0
56,19411.0,1419.0
57,19738.0,1320.0
58,19995.0,1455.0
59,20359.0,1488.0
60,20365.0,1489.0
61,20366.0,1491.0
62,20972.0,1517.0
63,575.0,41.0
64,596.0,44.0
65,625.0,47.0
66,667.0,48.0
67,1867.0,134.0
68,2756.0,195.0
69,2981.0,207.0
70,4145.0,304.0
71,4802.0,373.0
72,4979.0,383.0
73,5674.0,479.0
74,6147.0,505.0
75,6792.0,544.0
76,6804.0,777.0
77,6817.0,596.0
78,6890.0,552.0
79,7256.0,574.0
80,8044.0,617.0
81,9020.0,675.0
82,9349.0,693.0
83,11089.0,845.0
84,11211.0,849.0
85,11745.0,892.0
86,12479.0,950.0
87,14499.0,1067.0
88,14786.0,1095.0
89,15876.0,1179.0
90,15985.0,1190.0
91,16262.0,1209.0
92,16787.0,1253.0
93,17098.0,1264.0
94,18725.0,1374.0
95,19810.0,1463.0
96,19935.0,646.0
97,20053.0,1459.0
98,20989.0,360.0
99,21049.0,1522.0
100,2150.0,155.0
101,3256.0,221.0
102,6564.0,535.0
103,7216.0,566.0
104,9043.0,676.0
105,9063.0,679.0
106,9320.0,691.0
107,12761.0,968.0
108,14367.0,1060.0
109,15435.0,1155.0
110,16455.0,1227.0
111,18993.0,1390.0
112,19265.0,1414.0
113,20127.0,1468.0
114,344.0,22.0
115,1507.0,104.0
116,1681.0,123.0
117,2146.0,154.0
118,3683.0,254.0
119,4679.0,356.0
120,9015.0,674.0
121,9332.0,692.0
122,9411.0,700.0
123,10060.0,747.0
124,10126.0,755.0
125,11826.0,904.0
126,12531.0,952.0
127,13889.0,1031.0
128,14503.0,1068.0
129,17145.0,1269.0
130,18085.0,1333.0
131,18609.0,1364.0
132,19669.0,1432.0
133,3075.0,213.0
134,4772.0,367.0
135,5008.0,386.0
136,7086.0,557.0
137,7108.0,561.0
138,9097.0,682.0
139,9139.0,685.0
140,10071.0,749.0
141,13908.0,1033.0
142,13950.0,1037.0
143,14123.0,1045.0
144,14496.0,1065.0
145,14820.0,1102.0
146,15844.0,1176.0
147,17089.0,1263.0
148,17349.0,1288.0
149,17429.0,1294.0
150,19647.0,1429.0
151,20095.0,1464.0
152,21006.0,1519.0
