CARMA,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Efficiency,Efficiency,Efficiency,Efficiency,Duration,Duration,Duration,Duration,Volume_Mm3,Volume_Mm3,Volume_Mm3,Volume_Mm3,DamHeight_m,DamHeight_m,DamHeight_m,DamHeight_m,StorageCapacity_MWh,StorageCapacity_MWh,StorageCapacity_MWh,StorageCapacity_MWh,DateIn,DateIn,DateIn,DateIn,DateRetrofit,DateRetrofit,DateRetrofit,DateRetrofit,DateMothball,DateMothball,DateMothball,DateMothball,DateOut,DateOut,DateOut,DateOut,lat,lat,lat,lat,lon,lon,lon,lon,EIC,EIC,EIC,EIC,projectID,projectID,projectID,projectID
,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC
id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Abwinden asten,Abwinden asten,Abwinden asten,Abwinden asten abwinden asten abwinden asten,Hydro,Hydro,Hydro,Hydro,,,Run-Of-River,Run-Of-River,PP,PP,PP,Store,Austria,Austria,Austria,Austria,150.62823998352806,168.0,113.85668926193325,168.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1979.0,,,,1979.0,,,,,,,,,,,48.2188234,48.24798,48.248186,,14.420280599999998,14.4305,14.429929000000001,[nan],['14W-BAA-KW-----D'],[nan],[nan],['CARMA170'],['14W-BAA-KW-----D'],['GEO45165'],['H290']
1,Olidan,Olden oldå og långså,Olidan,Olidan olidan olidan,Hydro,Hydro,Hydro,Hydro,,,Run-Of-River,Run-Of-River,PP,PP,PP,Store,Sweden,Sweden,Sweden,Sweden,82.49310889912455,112.0,52.18431591171941,104.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,,1910.0,,,,1910.0,,,,,,,,,,58.283654401673495,,58.275,58.275,12.288637161254899,,12.2727,12.2726,[nan],['46WPU0000000106T'],[nan],[nan],['CARMA32456'],['46WPU0000000106T'],['GEO44340'],['H517']
2,Orfeus,Pshpp orfeus gen,Orfeus bulgeria,Orphey orfeus bulgeria hpp orfeus pump orfeus bulgeria,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Pumped Storage,PP,PP,Store,Store,Bulgaria,Bulgaria,Bulgaria,Bulgaria,143.57977814721045,160.0,157.96178343949043,160.0,,,,,0.0,0.0,0.0,82.1875,0.0,0.0,0.0,226.12,0.0,0.0,0.0,65.8,0.0,0.0,0.0,13150.0,,,1975.0,,,,2003.0,,,,,,,,,,,42.1621906,41.9404,41.9404,,23.871473,24.4471,24.27,[nan],['32W0011001000781'],[nan],[nan],['CARMA32739'],['32W0011001000781'],['GEO42186'],['H313']
3,Ottensheim wilhering,Ottensheim wilhering,Ottenheim wilhering,Ottensheim wilhering ottensheim wilhering ottenheim wilhering,Hydro,Hydro,Hydro,Hydro,,,Run-Of-River,Run-Of-River,PP,PP,PP,Store,Austria,Austria,Austria,Austria,159.24302667236068,179.0,121.31159153503603,179.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1975.0,,,,1975.0,,,,,,,,,,,48.332172,48.316629999999996,48.3165,,14.174304500000002,14.1512,14.151057000000002,[nan],['14W-BOW-KW-----9'],[nan],[nan],['CARMA33078'],['14W-BOW-KW-----9'],['GEO45164'],['H278']
4,Ottmarsheim,Ottmarsheim,Ottmarsheim,Ottmarsheim ottmarsheim ottmarsheim,Hydro,Hydro,Hydro,Hydro,,,Run-Of-River,Run-Of-River,PP,PP,PP,Store,France,France,France,France,135.74815388463534,156.0,105.72406860036659,156.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1952.0,,,,,,,,,,,,,,47.786551,47.78719,47.773999999999994,47.773990000000005,7.509352000000001,7.506512,7.523,7.522460000000001,[nan],['17W100P100P0306L'],[nan],[nan],['CARMA33091'],['17W100P100P0306L'],['GEO39779'],['H318']
5,Peshtera,Peshtera,Peshtera,Peshtera hpp peshtera peshtera bulgaria,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,Bulgaria,Bulgaria,Bulgaria,Bulgaria,108.77255920243216,135.0,126.36942675159236,128.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.3,0.0,0.0,0.0,586.0,0.0,0.0,0.0,0.0,,,1959.0,,,,1959.0,,,,,,,,,,42.033333299999995,42.0298857,42.0135,42.0135,24.3,24.2987265,24.2579,24.2579,[nan],['32W0011001000749'],[nan],[nan],['CARMA34311'],['32W0011001000749'],['GEO42190'],['H406']
6,Picote,Picote,Picote,Picote picote,Hydro,Hydro,Hydro,Hydro,,,Run-Of-River,Reservoir,PP,PP,PP,Store,Portugal,Portugal,Portugal,Portugal,169.68519235579416,440.0,288.70803348561645,440.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.43,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,,,1958.0,,,,2010.0,,,,,,,,,,41.402654,41.400112,41.379,41.379,-6.368258,-6.3704778,-6.3525,-6.3525,[nan],"['16WPICOTII-----K', '16WPICOTE------0']",[nan],[nan],['CARMA34545'],"['16WPICOTII-----K', '16WPICOTE------0']",['GEO43538'],['H76']
7,Pied borne,Pied borne,Pied borne,Pied borne pied borne pied borne,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,France,France,France,France,95.7198520981403,109.4,108.59872611464968,109.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,,,1965.0,,,,,,,,,,,,,,44.47568598406139,44.475285,44.479,44.47198,3.9843463897705096,3.984922999999999,3.986,3.9886699999999995,[nan],['17W100P100P0289W'],[nan],[nan],['CARMA34551'],['17W100P100P0289W'],['GEO39800'],['H471']
8,Plastira,Plastiras,Plastira,Plastiras plastiras plastira greece,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,Greece,Greece,Greece,Greece,112.72317855266449,130.0,128.24522292993632,130.0,,,,,0.0,0.0,0.0,3015.3846153846152,0.0,0.0,0.0,400.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,392000.0,,,1960.0,,,,1962.0,,,,,,,,,,39.36555560000001,39.297222,39.2361,39.2361,21.9216667,21.7525,21.7462,21.7462,[nan],['29WYISNPLASTIRAF'],[nan],[nan],['CARMA34905'],['29WYISNPLASTIRAF'],['GEO42795'],['H391']
9,Platanovrisi,Platanovrysi,Platanovrisi,Platanovrysi platanovrysi platanovrisi greece,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,Greece,Greece,Greece,Greece,106.51008997102157,116.0,120.44585987261146,116.0,,,,,0.0,0.0,0.0,94.82758620689656,0.0,0.0,0.0,57.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,11000.0,,,1999.0,,,,1999.0,,,,,,,,,,41.1666667,38.1359122,41.3355,41.3355,24.3833333,21.760912899999997,24.4621,24.4621,[nan],['29WYISPLATANOVRH'],[nan],[nan],['CARMA34909'],['29WYISPLATANOVRH'],['GEO42796'],['H441']
