,ENTSOE,GEO
0,3,4
1,40,34
2,67,70
3,346,376
4,471,933
5,495,523
6,514,932
7,520,547
8,556,582
9,681,696
10,683,1257
11,728,660
12,730,388
13,732,489
14,734,742
15,741,1376
16,792,810
17,802,698
18,839,886
19,840,887
20,862,920
21,872,931
22,988,1041
23,1118,734
24,1156,1201
25,1249,1284
26,1500,1491
27,1517,1517
28,48,41
29,287,304
30,343,373
31,354,383
32,602,195
33,772,777
34,845,895
35,1043,1095
36,1138,1179
37,1148,1190
38,1192,552
39,1219,482
40,1390,1374
41,1522,730
42,594,387
43,596,1468
44,685,700
45,893,952
46,957,747
47,1024,1068
48,1094,123
49,1095,254
50,1235,1269
51,1360,904
52,44,38
53,71,73
54,424,464
55,434,470
56,500,531
57,760,765
58,949,1006
59,1254,1291
60,1298,1326
61,1305,1334
62,97,94
63,391,480
64,662,668
65,583,599
66,642,655
67,657,659
68,748,756
69,817,864
70,853,915
71,875,936
72,922,985
73,975,1022
74,1200,1233
75,1332,1345
76,1464,1434
77,1497,1483
78,75,76
79,83,85
80,91,848
81,108,105
82,110,112
83,111,122
84,128,151
85,130,152
86,143,170
87,145,174
88,146,178
89,153,185
90,160,192
91,167,203
92,186,212
93,230,243
94,242,265
95,245,274
96,249,276
97,252,278
98,264,284
99,269,293
100,281,81
101,282,299
102,291,308
103,300,316
104,309,325
105,313,327
106,319,332
107,327,345
108,339,365
109,341,370
110,347,163
111,402,437
112,465,494
113,466,495
114,480,503
115,517,545
116,524,549
117,542,559
118,549,573
119,553,579
120,588,406
121,701,711
122,836,189
123,846,896
124,847,899
125,852,912
126,905,962
127,906,963
128,946,1004
129,979,1028
130,989,1042
131,1004,1050
132,1019,1063
133,1032,1079
134,1051,1119
135,1064,1122
136,1075,1129
137,1081,1134
138,1092,1138
139,1125,1165
140,1132,1166
141,1190,256
142,1195,1224
143,1210,1245
144,1232,1266
145,1252,1289
146,1281,19
147,1282,481
148,1283,787
149,1301,1329
150,1319,147
151,1422,1394
152,1480,1457
153,1489,1473
154,1494,1477
155,39,33
156,114,129
157,117,135
158,147,179
159,158,191
160,163,198
161,241,264
162,348,378
163,400,1499
164,406,439
165,433,469
166,493,517
167,496,525
168,523,548
169,541,558
170,560,585
171,566,1009
172,572,590
173,582,598
174,598,618
175,601,621
176,604,622
177,607,626
178,633,649
179,656,658
180,661,667
181,665,672
182,678,680
183,714,1077
184,715,727
185,718,729
186,721,732
187,729,205
188,738,1202
189,742,1472
190,744,1510
191,745,1528
192,796,130
193,804,839
194,819,867
195,821,873
196,831,881
197,850,908
198,869,928
199,910,597
200,932,992
201,939,994
202,942,997
203,947,975
204,1124,1164
205,1129,703
206,1130,702
207,1220,1254
208,1223,1255
209,1224,1258
210,1290,586
211,1487,1485
212,1499,1487
213,1501,390
214,1506,1492
215,1507,1494
216,1508,1495
217,1513,1511
218,16,15
219,32,23
220,34,366
221,56,55
222,72,74
223,337,12
224,399,1371
225,605,624
226,640,653
227,684,699
228,688,704
229,723,737
230,725,741
231,747,752
232,781,792
233,866,926
234,1047,1117
235,1091,1137
236,1236,1274
237,1302,1330
238,1388,1369
239,35,330
240,329,395
241,361,392
242,574,398
243,698,709
244,710,725
245,921,916
246,968,400
247,980,1035
248,999,1048
249,1529,1415
250,14,11
251,61,60
252,76,1261
253,321,333
254,554,580
255,626,645
256,897,954
257,951,1007
258,1062,1120
259,1340,1352
260,1434,1406
261,1439,1412
262,1510,1505
263,1512,1507
264,1374,7
265,43,413
266,52,46
267,57,56
268,106,449
269,119,408
270,156,407
271,170,414
272,200,415
273,213,444
274,215,229
275,232,1300
276,239,1268
277,363,399
278,383,426
279,417,460
280,419,461
281,420,462
282,425,465
283,474,410
284,527,553
285,663,670
286,675,416
287,789,808
288,795,417
289,895,663
290,898,955
291,926,1377
292,953,1013
293,986,401
294,1027,409
295,1035,448
296,1063,418
297,1068,451
298,1087,1135
299,1143,1183
300,1150,1196
301,1170,1241
302,1209,1244
303,1217,1252
304,1231,411
305,1248,421
306,1267,1302
307,1274,1313
308,1344,403
309,1373,140
310,1378,422
311,1383,530
312,1405,1385
313,1416,1378
314,1418,423
315,1430,1301
316,1431,412
317,1472,424
318,697,708
319,1044,1099
320,1135,1173
321,1159,1174
322,693,706
323,694,705
324,750,761
325,798,435
326,47,40
327,142,168
328,267,287
329,332,352
330,336,359
331,390,428
332,409,441
333,600,619
334,765,778
335,825,875
336,826,876
337,891,948
338,1136,1177
339,1146,1186
340,1258,1296
341,1326,1342
342,1400,436
343,1465,1442
344,720,731
345,1257,1293
346,1303,1331
347,1323,1340
348,9,8
349,253,433
350,345,375
351,362,394
352,371,1280
353,375,1523
354,512,1514
355,545,563
356,674,683
357,687,342
358,727,746
359,746,748
360,977,1026
361,987,1039
362,1073,1121
363,1077,1116
364,1100,1058
365,1165,1215
366,1243,1354
367,1255,1292
368,1262,1297
369,1288,1355
370,1435,1407
371,1514,1513
372,1516,1512
373,1524,1525
374,1532,770
375,1534,1521
376,1535,1532
377,19,16
378,42,35
379,112,125
380,182,211
381,211,222
382,227,239
383,305,322
384,494,518
385,776,783
386,886,945
387,1014,1061
388,1015,434
389,1031,1078
390,1045,1115
391,1117,1163
392,1134,1169
393,1197,1228
394,1250,1286
395,1412,1387
396,1455,1424
397,152,1073
398,303,321
399,502,537
400,503,538
401,546,253
402,636,650
403,664,671
404,815,859
405,848,903
406,884,944
407,956,247
408,1009,1054
409,1067,664
410,1114,1162
411,1158,1205
412,1163,1210
413,1296,142
414,1310,1337
415,1396,1381
416,1433,1405
417,1474,1450
418,591,148
419,1126,91
420,1350,1358
421,1352,744
422,1353,967
423,1381,1014
424,1382,1529
425,134,158
426,501,533
427,805,840
428,841,889
429,890,947
430,954,1011
431,1079,1132
432,1491,1476
433,1531,282
434,595,510
435,597,1526
436,935,759
437,1358,188
438,1380,1389
439,1384,1305
440,1530,83
441,0,3
442,6,5
443,33,26
444,55,50
445,59,59
446,65,65
447,68,71
448,104,857
449,116,133
450,196,218
451,218,233
452,226,238
453,270,295
454,280,323
455,283,301
456,377,472
457,435,226
458,437,475
459,438,396
460,570,1441
461,762,768
462,806,842
463,870,929
464,927,990
465,1003,1049
466,1097,1143
467,1098,1092
468,1145,1185
469,1179,1242
470,1185,1221
471,1188,1222
472,1205,1239
473,1207,1243
474,1270,1306
475,1271,1307
476,1423,1395
477,1460,1428
478,107,103
479,113,128
480,485,511
481,486,512
482,504,539
483,586,606
484,615,630
485,631,631
486,686,701
487,705,718
488,749,757
489,751,751
490,782,793
491,793,824
492,800,828
493,879,939
494,882,941
495,969,987
496,983,1038
497,1065,1124
498,1066,1125
499,1137,1178
500,1141,1181
501,1164,1214
502,1227,1262
503,1287,1322
504,1297,1325
505,1299,1328
