id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
0,Abwinden asten abwinden asten abwinden asten,Hydro,Run-Of-River,Store,Austria,168.0,,0.0,0.0,0.0,0.0,1979.0,1979.0,,,48.248186,14.429929000000001,[nan],"{'JRC': ['H290'], 'ENTSOE': ['14W-BAA-KW-----D'], 'GEO': ['GEO45165'], 'CARMA': ['CARMA170']}"
1,Olidan olidan olidan,Hydro,Run-Of-River,Store,Sweden,104.0,,0.0,0.0,20.0,0.0,1910.0,1910.0,,,58.275,12.2726,[nan],"{'JRC': ['H517'], 'ENTSOE': ['46WPU0000000106T'], 'GEO': ['GEO44340'], 'CARMA': ['CARMA32456']}"
2,Orphey orfeus bulgeria hpp orfeus pump orfeus bulgeria,Hydro,Pumped Storage,Store,Bulgaria,160.0,,82.1875,226.12,65.8,13150.0,1975.0,2003.0,,,41.9404,24.27,[nan],"{'JRC': ['H313'], 'ENTSOE': ['32W0011001000781'], 'GEO': ['GEO42186'], 'CARMA': ['CARMA32739']}"
3,Ottensheim wilhering ottensheim wilhering ottenheim wilhering,Hydro,Run-Of-River,Store,Austria,179.0,,0.0,0.0,0.0,0.0,1975.0,1975.0,,,48.3165,14.151057000000002,[nan],"{'JRC': ['H278'], 'ENTSOE': ['14W-BOW-KW-----9'], 'GEO': ['GEO45164'], 'CARMA': ['CARMA33078']}"
4,Ottmarsheim ottmarsheim ottmarsheim,Hydro,Run-Of-River,Store,France,156.0,,0.0,0.0,0.0,0.0,1952.0,,,,47.773990000000005,7.522460000000001,[nan],"{'JRC': ['H318'], 'ENTSOE': ['17W100P100P0306L'], 'GEO': ['GEO39779'], 'CARMA': ['CARMA33091']}"
5,Peshtera hpp peshtera peshtera bulgaria,Hydro,Reservoir,Store,Bulgaria,128.0,,0.0,302.3,586.0,0.0,1959.0,1959.0,,,42.0135,24.2579,[nan],"{'JRC': ['H406'], 'ENTSOE': ['32W0011001000749'], 'GEO': ['GEO42190'], 'CARMA': ['CARMA34311']}"
6,Picote picote,Hydro,Reservoir,Store,Portugal,440.0,,0.0,13.43,74.0,0.0,1958.0,2010.0,,,41.379,-6.3525,[nan],"{'JRC': ['H76'], 'ENTSOE': ['16WPICOTII-----K', '16WPICOTE------0'], 'GEO': ['GEO43538'], 'CARMA': ['CARMA34545']}"
7,Pied borne pied borne pied borne,Hydro,Reservoir,Store,France,109.4,,0.0,6.7,57.0,0.0,1965.0,,,,44.47198,3.9886699999999995,[nan],"{'JRC': ['H471'], 'ENTSOE': ['17W100P100P0289W'], 'GEO': ['GEO39800'], 'CARMA': ['CARMA34551']}"
8,Plastiras plastiras plastira greece,Hydro,Reservoir,Store,Greece,130.0,,3015.3846153846152,400.0,83.0,392000.0,1960.0,1962.0,,,39.2361,21.7462,[nan],"{'JRC': ['H391'], 'ENTSOE': ['29WYISNPLASTIRAF'], 'GEO': ['GEO42795'], 'CARMA': ['CARMA34905']}"
9,Platanovrysi platanovrysi platanovrisi greece,Hydro,Reservoir,Store,Greece,116.0,,94.82758620689656,57.0,95.0,11000.0,1999.0,1999.0,,,41.3355,24.4621,[nan],"{'JRC': ['H441'], 'ENTSOE': ['29WYISPLATANOVRH'], 'GEO': ['GEO42796'], 'CARMA': ['CARMA34909']}"
10,Plate taille plate taille plate taille belgeium,Hydro,Pumped Storage,Store,Belgium,144.0,,4.930555555555555,68.4,70.0,710.0,1981.0,1981.0,,,50.185752799999996,4.3823302,[nan],"{'JRC': ['H347'], 'ENTSOE': ['22WPLATEX000208N'], 'GEO': ['GEO41971'], 'CARMA': ['CARMA23845']}"
