,CARMA,JRC
0,2011.0,251.0
1,6009.0,789.0
2,9946.0,1475.0
3,17185.0,2723.0
4,19274.0,3187.0
5,19316.0,3198.0
6,19697.0,3480.0
7,51.0,7.0
8,77.0,1336.0
9,488.0,54.0
10,496.0,55.0
11,692.0,92.0
12,902.0,109.0
13,980.0,119.0
14,1127.0,143.0
15,1237.0,385.0
16,1999.0,246.0
17,2171.0,388.0
18,2181.0,291.0
19,2182.0,292.0
20,2382.0,389.0
21,2602.0,332.0
22,4719.0,581.0
23,4746.0,589.0
24,4873.0,606.0
25,5177.0,659.0
26,5589.0,733.0
27,5909.0,777.0
28,5944.0,784.0
29,6067.0,799.0
30,6389.0,855.0
31,6417.0,3439.0
32,6446.0,860.0
33,6523.0,876.0
34,6560.0,889.0
35,6629.0,900.0
36,6684.0,910.0
37,6830.0,2848.0
38,6852.0,932.0
39,7058.0,965.0
40,7229.0,986.0
41,7326.0,1000.0
42,7482.0,1020.0
43,7590.0,1057.0
44,7968.0,1260.0
45,8077.0,1143.0
46,8263.0,1172.0
47,8321.0,1176.0
48,8843.0,1297.0
49,8882.0,3463.0
50,9064.0,2493.0
51,9354.0,1379.0
52,9367.0,1382.0
53,9406.0,1395.0
54,9407.0,1396.0
55,9498.0,1404.0
56,9537.0,1411.0
57,9671.0,1430.0
58,9744.0,1445.0
59,9760.0,1446.0
60,9993.0,1482.0
61,9994.0,1483.0
62,10116.0,1497.0
63,10130.0,1501.0
64,10207.0,1521.0
65,10475.0,1581.0
66,10534.0,1593.0
67,10624.0,1613.0
68,10641.0,1621.0
69,10673.0,1627.0
70,10698.0,1636.0
71,10752.0,1642.0
72,10818.0,1656.0
73,11258.0,1724.0
74,11655.0,1774.0
75,11656.0,1775.0
76,11657.0,1776.0
77,11689.0,1780.0
78,12090.0,1837.0
79,12094.0,1839.0
80,12864.0,1972.0
81,12872.0,1978.0
82,13046.0,1996.0
83,13335.0,2054.0
84,13643.0,2118.0
85,13641.0,3294.0
86,14036.0,2177.0
87,14130.0,2185.0
88,14230.0,2852.0
89,14321.0,2215.0
90,14396.0,2221.0
91,14483.0,2231.0
92,14913.0,2353.0
93,15663.0,2423.0
94,15719.0,2435.0
95,15830.0,2461.0
96,15993.0,2482.0
97,16088.0,2494.0
98,16127.0,2500.0
99,16148.0,2505.0
100,16155.0,2510.0
101,16523.0,2597.0
102,16774.0,2682.0
103,16870.0,2683.0
104,16915.0,2664.0
105,16918.0,2668.0
106,16942.0,2677.0
107,17202.0,2724.0
108,17293.0,2744.0
109,17614.0,2810.0
110,17789.0,2835.0
111,17887.0,2871.0
112,17941.0,2893.0
113,18108.0,79.0
114,18147.0,2937.0
115,18392.0,3018.0
116,18582.0,3048.0
117,19046.0,3118.0
118,19180.0,3158.0
119,19411.0,3220.0
120,19995.0,3327.0
121,20332.0,3385.0
122,20359.0,3391.0
123,20366.0,3397.0
124,20497.0,3419.0
125,20506.0,3422.0
126,20637.0,3434.0
127,20709.0,3444.0
128,20875.0,3459.0
129,20972.0,3475.0
130,21047.0,3486.0
131,21122.0,3494.0
132,596.0,81.0
133,625.0,85.0
134,1867.0,232.0
135,4145.0,515.0
136,6147.0,815.0
137,7256.0,989.0
138,8044.0,1139.0
139,9020.0,1325.0
140,11089.0,1705.0
141,14786.0,2280.0
142,19935.0,1246.0
143,2150.0,284.0
144,3256.0,426.0
145,7216.0,981.0
146,9043.0,1329.0
147,9063.0,1332.0
148,12761.0,1920.0
149,14367.0,2219.0
150,15435.0,2376.0
151,16455.0,2584.0
152,18993.0,3111.0
153,20127.0,3344.0
