,CARMA,ENTSOE
0,51,3
1,496,40
2,752,734
3,980,67
4,1127,728
5,4847,346
6,5071,730
7,6417,495
8,6853,520
9,7326,556
10,7968,630
11,9406,681
12,9407,682
13,10826,792
14,11026,469
15,11655,839
16,11656,840
17,11996,862
18,12090,872
19,12093,471
20,14036,988
21,15814,737
22,16127,1156
23,17304,1249
24,18641,740
25,18734,741
26,20366,1500
27,20972,1517
28,575,48
29,2756,602
30,4145,287
31,4802,343
32,4979,354
33,6804,772
34,6890,1192
35,8860,655
36,14786,1043
37,15876,1138
38,15985,1148
39,18725,1390
40,3256,592
41,6564,1348
42,9320,1349
43,19182,1356
44,19265,1357
45,20127,596
46,1681,1094
47,3683,1095
48,9015,673
49,9411,685
50,10060,957
51,12531,893
52,13889,1096
53,14503,1024
54,14835,256
55,15694,258
56,17145,1235
57,18297,260
58,19668,1462
59,555,44
60,1018,71
61,5497,424
62,5596,434
63,13407,949
64,17267,1246
65,18165,1305
66,5198,391
67,8942,662
68,7647,576
69,7648,577
70,7817,583
71,8729,627
72,8832,642
73,8877,657
74,8971,667
75,9495,690
76,9538,700
77,10132,748
78,10248,753
79,10299,759
80,10926,797
81,11299,817
82,11893,853
83,12156,875
84,12994,922
85,13012,924
86,13785,975
87,13787,976
88,13977,985
89,14641,1034
90,16501,1200
91,17044,1226
92,18375,1332
93,18836,1404
94,19272,1445
95,19682,1464
96,20298,1497
97,268,1281
98,1046,75
99,1159,83
100,1271,91
101,1516,108
102,1570,1456
103,1572,110
104,1668,111
105,2008,1319
106,2083,128
107,2363,143
108,2426,146
109,2603,153
110,2710,160
111,2860,167
112,3054,186
113,3517,230
114,3696,1190
115,3754,242
116,3837,245
117,3858,249
118,3880,252
119,3960,264
120,4032,269
121,4178,291
122,4283,300
123,4389,313
124,4424,319
125,4512,327
126,4751,339
127,4779,341
128,4861,347
129,5385,402
130,5673,1191
131,5683,1282
132,5985,466
133,5986,465
134,6096,480
135,6801,517
136,6809,518
137,6866,524
138,7099,542
139,7247,549
140,7290,553
141,7565,1193
142,7996,588
143,8165,901
144,8193,603
145,9546,701
146,10646,1283
147,11632,836
148,11765,846
149,11775,847
150,12652,905
151,12653,906
152,12676,909
153,13359,946
154,13867,979
155,14044,989
156,14202,1004
157,14309,1010
158,14447,1019
159,14619,1032
160,14978,1064
161,15051,1075
162,15089,1081
163,15193,1092
164,15461,1109
165,15737,1125
166,15761,1132
167,16442,1195
168,16540,1051
169,16662,1210
170,16710,1214
171,17121,1232
172,17351,1252
173,18105,1301
174,19044,1422
175,19499,1452
176,20154,64
177,20190,1489
178,20257,1494
179,471,39
180,1773,114
181,1793,887
182,1872,117
183,2704,158
184,2779,163
185,2918,168
186,3748,241
187,4877,348
188,5415,407
189,5488,423
190,5591,433
191,5857,731
192,6124,733
193,6326,493
194,6753,516
195,6865,523
196,6995,531
197,7096,541
198,7410,560
199,7588,572
200,7677,578
201,7682,579
202,7795,582
203,7835,534
204,7934,587
205,8059,598
206,8180,601
207,8199,604
208,8207,606
209,8252,607
210,8448,614
211,8654,622
212,8707,625
213,8761,633
214,8786,1131
215,8870,656
216,8940,661
217,8951,665
218,9080,678
219,9429,1130
220,9612,703
221,9849,718
222,9893,721
223,10656,735
224,11035,804
225,11367,819
226,11573,831
227,11833,850
228,12051,869
229,12161,876
230,12421,888
231,13088,932
232,13284,942
233,13300,943
234,13460,566
235,14571,714
236,15726,1124
237,15727,1123
238,15752,1127
239,16039,739
240,16134,738
241,16570,970
242,16818,1220
243,16866,1223
244,16943,1224
245,17904,1290
246,18716,1389
247,20186,742
248,20221,1487
249,20334,1499
250,20372,1501
251,20461,1506
