,GEO,JRC
0,72.0,122.0
1,149.0,251.0
2,735.0,1475.0
3,1277.0,2723.0
4,1416.0,3198.0
5,1435.0,3480.0
6,4.0,7.0
7,34.0,55.0
8,51.0,92.0
9,70.0,119.0
10,146.0,246.0
11,157.0,389.0
12,425.0,659.0
13,488.0,777.0
14,489.0,779.0
15,492.0,784.0
16,523.0,3439.0
17,529.0,876.0
18,547.0,932.0
19,582.0,1000.0
20,593.0,1260.0
21,660.0,2162.0
22,686.0,1341.0
23,696.0,1395.0
24,697.0,1445.0
25,698.0,1396.0
26,710.0,1411.0
27,734.0,2419.0
28,739.0,1482.0
29,740.0,1483.0
30,754.0,1497.0
31,786.0,1613.0
32,791.0,1627.0
33,868.0,1759.0
34,886.0,1774.0
35,887.0,1775.0
36,888.0,1776.0
37,920.0,1817.0
38,931.0,1837.0
39,1018.0,2116.0
40,1041.0,2177.0
41,1057.0,2215.0
42,1172.0,2461.0
43,1192.0,2482.0
44,1199.0,2493.0
45,1201.0,2500.0
46,1256.0,2668.0
47,1257.0,2678.0
48,1319.0,2849.0
49,1320.0,2854.0
50,1409.0,3158.0
51,1419.0,3220.0
52,1447.0,3294.0
53,1455.0,3327.0
54,1488.0,3391.0
55,1489.0,3395.0
56,1490.0,3396.0
57,1491.0,3397.0
58,1500.0,3427.0
59,1517.0,3475.0
60,44.0,81.0
61,47.0,85.0
62,134.0,232.0
63,206.0,378.0
64,304.0,515.0
65,505.0,815.0
66,574.0,989.0
67,617.0,1139.0
68,646.0,1246.0
69,675.0,1325.0
70,845.0,1705.0
71,956.0,1888.0
72,1095.0,2280.0
73,155.0,284.0
74,221.0,426.0
75,566.0,981.0
76,676.0,1329.0
77,678.0,1331.0
78,679.0,1332.0
79,762.0,1511.0
80,968.0,1920.0
81,969.0,1921.0
82,1060.0,2219.0
83,1227.0,2584.0
84,1390.0,3111.0
85,1391.0,3110.0
86,1468.0,3344.0
87,22.0,41.0
88,104.0,191.0
89,123.0,2340.0
90,254.0,2341.0
91,356.0,577.0
92,674.0,1229.0
93,700.0,1230.0
94,755.0,1500.0
95,952.0,1232.0
96,1031.0,2154.0
97,1068.0,2237.0
98,1269.0,1234.0
99,1333.0,2941.0
100,1364.0,3049.0
101,213.0,406.0
102,367.0,594.0
103,386.0,626.0
104,557.0,366.0
105,561.0,972.0
106,682.0,1334.0
107,749.0,1491.0
108,822.0,1663.0
109,884.0,1861.0
110,1033.0,2150.0
111,1045.0,2181.0
112,1065.0,2233.0
113,1263.0,2706.0
114,1294.0,2775.0
115,1429.0,3270.0
116,1464.0,3339.0
117,1520.0,3481.0
118,338.0,646.0
119,371.0,662.0
120,695.0,1387.0
121,837.0,1695.0
122,1032.0,2149.0
123,1295.0,2795.0
124,1324.0,2880.0
125,1332.0,2933.0
126,1479.0,3368.0
127,655.0,1295.0
128,1346.0,3013.0
129,24.0,46.0
130,30.0,50.0
131,61.0,104.0
132,62.0,105.0
133,67.0,114.0
134,76.0,125.0
135,81.0,509.0
136,82.0,145.0
137,85.0,147.0
138,96.0,169.0
139,110.0,3255.0
140,112.0,197.0
141,114.0,198.0
142,118.0,199.0
143,147.0,250.0
144,163.0,605.0
145,170.0,306.0
146,178.0,311.0
147,183.0,322.0
148,186.0,334.0
149,189.0,1771.0
150,190.0,340.0
151,192.0,343.0
152,212.0,403.0
153,216.0,415.0
154,230.0,2570.0
155,236.0,444.0
156,240.0,446.0
157,241.0,447.0
158,256.0,2571.0
159,258.0,467.0
160,265.0,476.0
161,266.0,1893.0
162,268.0,479.0
163,270.0,480.0
164,274.0,486.0
165,285.0,498.0
166,288.0,501.0
167,293.0,2580.0
168,296.0,507.0
169,316.0,523.0
170,332.0,537.0
171,334.0,540.0
172,343.0,2573.0
173,429.0,663.0
174,432.0,668.0
175,440.0,710.0
176,478.0,2574.0
177,481.0,2846.0
178,483.0,756.0
179,495.0,787.0
180,541.0,897.0
181,545.0,927.0
182,546.0,2575.0
183,549.0,934.0
184,550.0,935.0
185,560.0,971.0
186,565.0,978.0
187,573.0,988.0
188,577.0,991.0
189,578.0,993.0
190,611.0,1126.0
191,641.0,1220.0
192,642.0,1223.0
193,689.0,1350.0
194,711.0,1414.0
195,766.0,25.0
196,772.0,1577.0
197,782.0,1604.0
198,784.0,1605.0
199,790.0,1626.0
200,794.0,1631.0
201,827.0,1674.0
202,848.0,161.0
203,858.0,1727.0
204,862.0,1730.0
205,869.0,1740.0
206,885.0,1772.0
207,891.0,1786.0
208,894.0,1790.0
209,896.0,1791.0
