set_key,dataset,gt_set,mod_time,truth_status,names
11WD2BMIT0002731 | 11WD2GKBB000334V,ENTSOE,"{'11WD2BMIT0002731', '11WD2GKBB000334V'}",1/12/2021 10:46,P,
11WD2NO2K000308Z | 11WD2WBNK000318M,ENTSOE,"{'11WD2NO2K000308Z', '11WD2WBNK000318M'}",1/16/2021 17:25,U,[Nord 2 | HKW Nord]
11WD2SUE1000099L | 11WD2SUE2000103B,ENTSOE,"{'11WD2SUE1000099L', '11WD2SUE2000103B'}",1/12/2021 10:46,P,
11WD2WBWK000317H | 11WD7GKWE2S--KW8,ENTSOE,"{'11WD2WBWK000317H', '11WD7GKWE2S--KW8'}",1/16/2021 17:25,U,[HKW West | GK-West]
11WD2WI1K000303F | 11WD2WILK000286V,ENTSOE,"{'11WD2WI1K000303F', '11WD2WILK000286V'}",1/12/2021 10:46,P,
11WD4SAEK2HS---S | 11WD4SWSW5HD4--R | 11WD4WEHR1HS---G,ENTSOE,"{'11WD4SWSW5HD4--R', '11WD4SAEK2HS---S', '11WD4WEHR1HS---G'}",1/12/2021 10:46,P,
11WD7ENSD2SKW1-4 | 11WD7ENSD5SKW3-E,ENTSOE,"{'11WD7ENSD5SKW3-E', '11WD7ENSD2SKW1-4'}",1/12/2021 10:46,P,
11WD7KWHU----KW9 | 11WD7LUNE2S--KW8,ENTSOE,"{'11WD7LUNE2S--KW8', '11WD7KWHU----KW9'}",1/12/2021 10:46,P,
11WD7KWKN----KW1 | 11WD7KWKN1GBL203,ENTSOE,"{'11WD7KWKN1GBL203', '11WD7KWKN----KW1'}",1/12/2021 10:46,P,
15WEONSUM----PPI | 15WPLOOP-----PPL,ENTSOE,"{'15WEONSUM----PPI', '15WPLOOP-----PPL'}",1/12/2021 16:34,X,[PLOOP szabályozási központ | EONSUM szabályozási központ]
15WGREEN-----PPZ | 15WSINERGY---PPQ,ENTSOE,"{'15WGREEN-----PPZ', '15WSINERGY---PPQ'}",1/12/2021 16:34,X,[GREENERGY szabályozási központ | Sinergy szabályozási központ]
15WMVMSZK----PPY | 15WVEOLIASZK-PPQ,ENTSOE,"{'15WMVMSZK----PPY', '15WVEOLIASZK-PPQ'}",1/12/2021 16:34,X,[VEOLIA szabályozási központ | MVM szabályozási központ]
16W-MIRANDA----I | 16WMIRANII-----E,ENTSOE,"{'16WMIRANII-----E', '16W-MIRANDA----I'}",1/12/2021 10:46,P,
16WBEMPOII-----R | 16WBEMPOS------6,ENTSOE,"{'16WBEMPOII-----R', '16WBEMPOS------6'}",1/12/2021 10:46,P,
16WFRADES------T | 16WFRADES2-----8,ENTSOE,"{'16WFRADES2-----8', '16WFRADES------T'}",1/12/2021 10:46,P,
16WPICOTE------0 | 16WPICOTII-----K,ENTSOE,"{'16WPICOTE------0', '16WPICOTII-----K'}",1/12/2021 10:46,P,
17W100B100P0189S | 17W100P100P01873 | 17W100P100P01881 | 17W100P100P0190E,ENTSOE,"{'17W100P100P01881', '17W100P100P01873', '17W100P100P0190E', '17W100B100P0189S'}",1/12/2021 10:46,P,
17W100P100P01776 | 17W100P100P01784 | 17W100P100P01792 | 17W100P100P0180H,ENTSOE,"{'17W100P100P01792', '17W100P100P01784', '17W100P100P01776', '17W100P100P0180H'}",1/12/2021 10:46,P,
17W100P100P0181F | 17W100P100P0182D | 17W100P100P0183B | 17W100P100P01849,ENTSOE,"{'17W100P100P0183B', '17W100P100P0182D', '17W100P100P0181F', '17W100P100P01849'}",1/12/2021 10:46,P,
17W100P100P01857 | 17W100P100P01865,ENTSOE,"{'17W100P100P01865', '17W100P100P01857'}",1/12/2021 10:46,P,
17W100P100P0191C | 17W100P100P0192A | 17W100P100P01938 | 17W100P100P01946,ENTSOE,"{'17W100P100P0191C', '17W100P100P01946', '17W100P100P0192A', '17W100P100P01938'}",1/12/2021 10:46,P,
17W100P100P01954 | 17W100P100P01962,ENTSOE,"{'17W100P100P01962', '17W100P100P01954'}",1/12/2021 10:46,P,
17W100P100P01970 | 17W100P100P0198Z,ENTSOE,"{'17W100P100P01970', '17W100P100P0198Z'}",1/12/2021 10:46,P,
17W100P100P0199X | 17W100P100P02000 | 17W100P100P0201Z | 17W100P100P0202X,ENTSOE,"{'17W100P100P0199X', '17W100P100P02000', '17W100P100P0201Z', '17W100P100P0202X'}",1/12/2021 10:46,P,
17W100P100P0203V | 17W100P100P0204T | 17W100P100P0205R | 17W100P100P0206P,ENTSOE,"{'17W100P100P0206P', '17W100P100P0204T', '17W100P100P0205R', '17W100P100P0203V'}",1/12/2021 10:46,P,
17W100P100P0207N | 17W100P100P0208L,ENTSOE,"{'17W100P100P0208L', '17W100P100P0207N'}",1/12/2021 10:46,P,
17W100P100P0209J | 17W100P100P0210Y,ENTSOE,"{'17W100P100P0209J', '17W100P100P0210Y'}",1/12/2021 10:46,P,
17W100P100P0211W | 17W100P100P0212U,ENTSOE,"{'17W100P100P0212U', '17W100P100P0211W'}",1/12/2021 10:46,P,
17W100P100P0213S | 17W100P100P0214Q | 17W100P100P0215O | 17W100P100P0216M | 17W100P100P0217K | 17W100P100P0218I,ENTSOE,"{'17W100P100P0218I', '17W100P100P0214Q', '17W100P100P0215O', '17W100P100P0217K', '17W100P100P0216M', '17W100P100P0213S'}",1/12/2021 10:46,P,
17W100P100P0219G | 17W100P100P0220V,ENTSOE,"{'17W100P100P0220V', '17W100P100P0219G'}",1/12/2021 10:46,P,
17W100P100P0221T | 17W100P100P0222R | 17W100P100P0223P | 17W100P100P0224N,ENTSOE,"{'17W100P100P0221T', '17W100P100P0224N', '17W100P100P0222R', '17W100P100P0223P'}",1/12/2021 10:46,P,
17W100P100P0225L | 17W100P100P0226J,ENTSOE,"{'17W100P100P0226J', '17W100P100P0225L'}",1/12/2021 10:46,P,
17W100P100P0227H | 17W100P100P0228F,ENTSOE,"{'17W100P100P0227H', '17W100P100P0228F'}",1/12/2021 10:46,P,
17W100P100P0229D | 17W100P100P0230S,ENTSOE,"{'17W100P100P0229D', '17W100P100P0230S'}",1/12/2021 10:46,P,
17W100P100P0231Q | 17W100P100P0232O | 17W100P100P0233M | 17W100P100P0234K,ENTSOE,"{'17W100P100P0232O', '17W100P100P0231Q', '17W100P100P0234K', '17W100P100P0233M'}",1/12/2021 10:46,P,
17W100P100P0236G | 17W100P100P0237E,ENTSOE,"{'17W100P100P0237E', '17W100P100P0236G'}",1/12/2021 10:46,P,
17W100P100P0245F | 17W100P100P0246D,ENTSOE,"{'17W100P100P0245F', '17W100P100P0246D'}",1/12/2021 10:46,P,
17W100P100P02497 | 17W100P100P0250M,ENTSOE,"{'17W100P100P02497', '17W100P100P0250M'}",1/12/2021 10:46,P,
17W100P100P0251K | 17W100P100P0252I | 17W100P100P0253G | 17W100P100P0254E,ENTSOE,"{'17W100P100P0253G', '17W100P100P0254E', '17W100P100P0251K', '17W100P100P0252I'}",1/12/2021 10:46,P,
17W100P100P0255C | 17W100P100P0256A,ENTSOE,"{'17W100P100P0256A', '17W100P100P0255C'}",1/12/2021 10:46,P,
17W100P100P02586 | 17W100P100P0260J | 17W100P100P0261H,ENTSOE,"{'17W100P100P0261H', '17W100P100P0260J', '17W100P100P02586'}",1/12/2021 10:46,P,
17W100P100P0263D | 17W100P100P02659,ENTSOE,"{'17W100P100P02659', '17W100P100P0263D'}",1/12/2021 10:46,P,
17W100P100P02675 | 17W100P100P02683 | 17W100P100P02691,ENTSOE,"{'17W100P100P02691', '17W100P100P02683', '17W100P100P02675'}",1/12/2021 10:46,P,
17W100P100P0270G | 17W100P100P0271E,ENTSOE,"{'17W100P100P0271E', '17W100P100P0270G'}",1/12/2021 10:46,P,
