projectID,formatted_address,geometry,name,num_results,place_id,place_ok,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types
26WIMPI-S04CSTL9,"39020 Ciardes South Tyrol, Italy","{'location': {'lat': 46.6383258, 'lng': 10.9413657}, 'viewport': {'northeast': {'lat': 46.643075, 'lng': 10.9531438}, 'southwest': {'lat': 46.6341354, 'lng': 10.9349313}}}",Ciardes,1,ChIJY2wDrSXCgkcRE9OQAyk-4ag,False,3,find_place,BUST,"Castelbello, Italy",1/29/2021 15:41,0.333333333,"['locality', 'political']"
26WIMPI-S04RPST7,"Puster Valley, 39038 Innichen, South Tyrol, Italy","{'location': {'lat': 46.75, 'lng': 12.3333333}, 'viewport': {'northeast': {'lat': 46.7576447, 'lng': 12.3493407}, 'southwest': {'lat': 46.7423542, 'lng': 12.3173259}}}",Puster Valley,1,ChIJqeY0niPVeUcRb-YDgVR3XHU,True,2,find_place,OK,"Pusteria, Italy",1/29/2021 15:41,0.666666667,"['natural_feature', 'establishment']"
26WIMPI-S15SCPRH,"81056 Sparanise, Province of Caserta, Italy","{'location': {'lat': 41.1933964, 'lng': 14.099336}, 'viewport': {'northeast': {'lat': 41.1963246, 'lng': 14.1074421}, 'southwest': {'lat': 41.174543, 'lng': 14.0844936}}}",Sparanise,1,ChIJiQJuUTTlOhMRZ4ZI_YfKubw,True,1,find_place,OK,"Sparanise electric power plant, Italy",1/29/2021 15:41,1.0,"['locality', 'political']"
26WIMPI-S11VNMRS,"63095 Venamartello, Province of Ascoli Piceno, Italy","{'location': {'lat': 42.7896735, 'lng': 13.4164107}, 'viewport': {'northeast': {'lat': 42.79108407989272, 'lng': 13.4180434}, 'southwest': {'lat': 42.78838442010728, 'lng': 13.4147055}}}",Venamartello,1,ChIJF0eN9rcbLhMRyHO0TKJTWoI,True,2,find_place,OK,"Venamartello, Italy",1/29/2021 15:41,1.0,"['locality', 'political']"
26WIMPI-S08ERNPQ,"Ravenna, Province of Ravenna, Italy","{'location': {'lat': 44.4183598, 'lng': 12.2035294}, 'viewport': {'northeast': {'lat': 44.4405473, 'lng': 12.2342168}, 'southwest': {'lat': 44.3841368, 'lng': 12.1668015}}}",Ravenna,1,ChIJF9okWlD5fUcRdqdUnDyjdCo,True,2,find_place,OK,"Ravenna, Italy",1/29/2021 16:52,1.0,"['locality', 'political']"
18WARCOS3-123-0Z,"11630 Arcos de la Frontera, Cádiz, Spain","{'location': {'lat': 36.7560042, 'lng': -5.8116522}, 'viewport': {'northeast': {'lat': 36.7628425, 'lng': -5.7909321}, 'southwest': {'lat': 36.7402313, 'lng': -5.8251445}}}",Arcos de la Frontera,1,ChIJgSwaqWehDQ0RHIzczYu8Ua0,True,2,find_place,OK,"Arcos, Spain",1/29/2021 17:22,0.4,"['locality', 'political']"
26WIMPI-S01FNDVN,"28863 Fondovalle Province of Verbano-Cusio-Ossola, Italy","{'location': {'lat': 46.3422566, 'lng': 8.4244805}, 'viewport': {'northeast': {'lat': 46.349959, 'lng': 8.440487899999999}, 'southwest': {'lat': 46.33455319999999, 'lng': 8.4084731}}}",Fondovalle,1,ChIJdXCQPuCPhUcRw5CrFh3on-A,True,2,find_place,OK,"Fondovalle, Italy",1/29/2021 17:22,1.0,"['locality', 'political']"
50WP00000000299J,"4460 Moi, Norway","{'location': {'lat': 58.4653007, 'lng': 6.543993599999999}, 'viewport': {'northeast': {'lat': 58.46661472989272, 'lng': 6.545116429892722}, 'southwest': {'lat': 58.46391507010728, 'lng': 6.542416770107279}}}",Hylen power plant,1,ChIJ7bO-A0XpOUYR4VmU0u_bQRg,True,1,find_place,OK,"Hylen hydroelectric dam, Norway",1/29/2021 17:22,0.625,"['point_of_interest', 'establishment']"
17W100P100P0317G,"38350 Cognet, France","{'location': {'lat': 44.88076299999999, 'lng': 5.777848}, 'viewport': {'northeast': {'lat': 44.89114499999999, 'lng': 5.787367}, 'southwest': {'lat': 44.871933, 'lng': 5.760805}}}",Cognet,1,ChIJZ8LwOqZ_ikcR4Hu-5CqrCAQ,True,2,find_place,OK,"Pierre Cognet, France",1/29/2021 17:22,0.6315789470000001,"['locality', 'political']"
11WD4WEHR1HS---G,"Säckinger Str. 67, 79725 Laufenburg, Germany","{'location': {'lat': 47.5573968, 'lng': 8.0454952}, 'viewport': {'northeast': {'lat': 47.55874662989272, 'lng': 8.04684502989272}, 'southwest': {'lat': 47.55604697010727, 'lng': 8.044145370107277}}}",Schluchseewerk AG,1,ChIJx34yBNhFkEcRl-UB62z0pUw,True,1,find_place,OK,"Schluchseewerk Ag hydroelectric dam, Germany",1/29/2021 17:22,0.9032258064516128,"['point_of_interest', 'establishment']"
