projectID,best_match,compound_code,formatted_address,global_code,lat,lon,place_name,num_results,partial_match,place_id,PlantName,place_ok,return_pos,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types,gm_lat,gm_lon,gm_url
26WIMPI-S04CSTL9,,,"39020 Ciardes South Tyrol, Italy",,,,Ciardes,1,,ChIJY2wDrSXCgkcRE9OQAyk-4ag,,False,,3,find_place,BUST,"Castelbello, Italy",1/29/2021 15:41,0.333333333,"['locality', 'political']",46.6383258,10.9413657,https://www.google.com/maps/place/?q=place_id:ChIJY2wDrSXCgkcRE9OQAyk-4ag
26WIMPI-S04RPST7,,,"Puster Valley, 39038 Innichen, South Tyrol, Italy",,,,Puster Valley,1,,ChIJqeY0niPVeUcRb-YDgVR3XHU,,True,,2,find_place,OK,"Pusteria, Italy",1/29/2021 15:41,0.666666667,"['natural_feature', 'establishment']",46.75,12.3333333,https://www.google.com/maps/place/?q=place_id:ChIJqeY0niPVeUcRb-YDgVR3XHU
26WIMPI-S15SCPRH,,,"81056 Sparanise, Province of Caserta, Italy",,,,Sparanise,1,,ChIJiQJuUTTlOhMRZ4ZI_YfKubw,,True,,1,find_place,OK,"Sparanise electric power plant, Italy",1/29/2021 15:41,1.0,"['locality', 'political']",41.1933964,14.099336,https://www.google.com/maps/place/?q=place_id:ChIJiQJuUTTlOhMRZ4ZI_YfKubw
26WIMPI-S11VNMRS,,,"63095 Venamartello, Province of Ascoli Piceno, Italy",,,,Venamartello,1,,ChIJF0eN9rcbLhMRyHO0TKJTWoI,,True,,2,find_place,OK,"Venamartello, Italy",1/29/2021 15:41,1.0,"['locality', 'political']",42.7896735,13.4164107,https://www.google.com/maps/place/?q=place_id:ChIJF0eN9rcbLhMRyHO0TKJTWoI
26WIMPI-S08ERNPQ,,,"Ravenna, Province of Ravenna, Italy",,,,Ravenna,1,,ChIJF9okWlD5fUcRdqdUnDyjdCo,,True,,2,find_place,OK,"Ravenna, Italy",1/29/2021 16:52,1.0,"['locality', 'political']",44.4183598,12.2035294,https://www.google.com/maps/place/?q=place_id:ChIJF9okWlD5fUcRdqdUnDyjdCo
18WARCOS3-123-0Z,,,"11630 Arcos de la Frontera, Cádiz, Spain",,,,Arcos de la Frontera,1,,ChIJgSwaqWehDQ0RHIzczYu8Ua0,,True,,2,find_place,OK,"Arcos, Spain",1/29/2021 17:22,0.4,"['locality', 'political']",36.7560042,-5.8116522,https://www.google.com/maps/place/?q=place_id:ChIJgSwaqWehDQ0RHIzczYu8Ua0
26WIMPI-S01FNDVN,,,"28863 Fondovalle Province of Verbano-Cusio-Ossola, Italy",,,,Fondovalle,1,,ChIJdXCQPuCPhUcRw5CrFh3on-A,,True,,2,find_place,OK,"Fondovalle, Italy",1/29/2021 17:22,1.0,"['locality', 'political']",46.3422566,8.4244805,https://www.google.com/maps/place/?q=place_id:ChIJdXCQPuCPhUcRw5CrFh3on-A
50WP00000000299J,,,"4460 Moi, Norway",,,,Hylen power plant,1,,ChIJ7bO-A0XpOUYR4VmU0u_bQRg,,True,,1,find_place,OK,"Hylen hydroelectric dam, Norway",1/29/2021 17:22,0.625,"['point_of_interest', 'establishment']",58.4653007,6.5439936,https://www.google.com/maps/place/?q=place_id:ChIJ7bO-A0XpOUYR4VmU0u_bQRg
17W100P100P0317G,,,"38350 Cognet, France",,,,Cognet,1,,ChIJZ8LwOqZ_ikcR4Hu-5CqrCAQ,,True,,2,find_place,OK,"Pierre Cognet, France",1/29/2021 17:22,0.6315789470000001,"['locality', 'political']",44.880763,5.777848,https://www.google.com/maps/place/?q=place_id:ChIJZ8LwOqZ_ikcR4Hu-5CqrCAQ
11WD4WEHR1HS---G,,,"Säckinger Str. 67, 79725 Laufenburg, Germany",,,,Schluchseewerk AG,1,,ChIJx34yBNhFkEcRl-UB62z0pUw,,True,,1,find_place,OK,"Schluchseewerk Ag hydroelectric dam, Germany",1/29/2021 17:22,0.9032258059999999,"['point_of_interest', 'establishment']",47.5573968,8.0454952,https://www.google.com/maps/place/?q=place_id:ChIJx34yBNhFkEcRl-UB62z0pUw
18WSBEU-12345-0Q,,,"Sil, Spain",,,,Sil,1,,ChIJaetCJ1iXMA0RO7Ri_VYbUDo,,True,,5,find_place,OK,"Sil, Spain",1/29/2021 17:22,0.46153846200000004,"['natural_feature', 'establishment']",42.5218858,-6.8024172,https://www.google.com/maps/place/?q=place_id:ChIJaetCJ1iXMA0RO7Ri_VYbUDo
47W000000000163L,,,"Tawnaghmore Upper, Co. Mayo, Ireland",,,,Tawnaghmore Power Station,1,,ChIJJypHhmw6WUgRi95m2x2rICk,,True,,1,find_place,OK,"Tawnaghmore Production electric power plant, Ireland",1/29/2021 17:22,0.7333333329999999,"['point_of_interest', 'establishment']",54.1934,-9.2206,https://www.google.com/maps/place/?q=place_id:ChIJJypHhmw6WUgRi95m2x2rICk
26WIMPI-S19TCRMT,,,"90018 Termini Imerese, PA, Italy",,,,Termini Imerese,1,,ChIJBVg2mE9QFxMREdkWTPiI-Mg,,True,,2,find_place,OK,"Termini Imerese, Italy",1/29/2021 17:22,1.0,"['locality', 'political']",37.984023,13.6961892,https://www.google.com/maps/place/?q=place_id:ChIJBVg2mE9QFxMREdkWTPiI-Mg
26WIMPI-S12ADRR4,,,"00054 Fiumicino, Metropolitan City of Rome, Italy",,,,Fiumicino,1,,ChIJ-xffVIH6JRMRiKazd9npF40,,True,,4,find_place,OK,"Fiumicino, Italy",1/29/2021 17:27,0.642857143,"['locality', 'political']",41.7735409,12.2397117,https://www.google.com/maps/place/?q=place_id:ChIJ-xffVIH6JRMRiKazd9npF40
26WIMPI-S11ACPNS,,,"Via Dante Alighieri, 27, 36065 Mussolente VI, Italy",,,,A.P.I. Applications Plastics Industriali Spa,1,,ChIJRQY5QYzZeEcRgWE6fgxyxXw,,False,,3,find_place,BUST,"Api, Italy",1/29/2021 17:27,0.130434783,"['point_of_interest', 'establishment']",45.7742118,11.8030405,https://www.google.com/maps/place/?q=place_id:ChIJRQY5QYzZeEcRgWE6fgxyxXw
