projectID,best_match,compound_code,formatted_address,global_code,KeywordName,lat,lon,place_name,num_results,partial_match,place_id,PlantName,place_ok,return_pos,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types,gm_lat,gm_lon,gm_url
26WIMPI-S04CSTL9,False,,"39020 Ciardes South Tyrol, Italy",,Castelbello,46.6283245,10.9057667,Ciardes,1,,ChIJY2wDrSXCgkcRE9OQAyk-4ag,Castelbello,False,,3,find_place,BUST,"Castelbello, Italy",1/29/2021 15:41,0.3333333333333333,"['locality', 'political']",46.6383258,10.9413657,https://www.google.com/maps/place/?q=place_id:ChIJY2wDrSXCgkcRE9OQAyk-4ag
26WIMPI-S04RPST7,True,,"Puster Valley, 39038 Innichen, South Tyrol, Italy",,Pusteria,,,Puster Valley,1,,ChIJqeY0niPVeUcRb-YDgVR3XHU,Rio Pusteria,True,,2,find_place,OK,"Pusteria, Italy",1/29/2021 15:41,0.6666666666666666,"['natural_feature', 'establishment']",46.75,12.3333333,https://www.google.com/maps/place/?q=place_id:ChIJqeY0niPVeUcRb-YDgVR3XHU
26WIMPI-S15SCPRH,,,"81056 Sparanise, Province of Caserta, Italy",,Sparanise,,,Sparanise,1,,ChIJiQJuUTTlOhMRZ4ZI_YfKubw,Sparanise,True,,1,find_place,OK,"Sparanise electric power plant, Italy",1/29/2021 15:41,1.0,"['locality', 'political']",41.1933964,14.099336,https://www.google.com/maps/place/?q=place_id:ChIJiQJuUTTlOhMRZ4ZI_YfKubw
26WIMPI-S11VNMRS,,,"63095 Venamartello, Province of Ascoli Piceno, Italy",,Venamartello,,,Venamartello,1,,ChIJF0eN9rcbLhMRyHO0TKJTWoI,Venamartello,True,,2,find_place,OK,"Venamartello, Italy",1/29/2021 15:41,1.0,"['locality', 'political']",42.7896735,13.4164107,https://www.google.com/maps/place/?q=place_id:ChIJF0eN9rcbLhMRyHO0TKJTWoI
26WIMPI-S08ERNPQ,True,,"Ravenna, Province of Ravenna, Italy",,Ravenna,,,Ravenna,1,,ChIJF9okWlD5fUcRdqdUnDyjdCo,Ravenna,True,,2,find_place,OK,"Ravenna, Italy",1/29/2021 16:52,1.0,"['locality', 'political']",44.4183598,12.2035294,https://www.google.com/maps/place/?q=place_id:ChIJF9okWlD5fUcRdqdUnDyjdCo
18WARCOS3-123-0Z,True,,"11630 Arcos de la Frontera, Cádiz, Spain",,Arcos,36.7560042,-5.8116522,Arcos de la Frontera,1,,ChIJgSwaqWehDQ0RHIzczYu8Ua0,Arcos,True,,2,find_place,OK,"Arcos, Spain",1/29/2021 17:22,0.4,"['locality', 'political']",36.7560042,-5.8116522,https://www.google.com/maps/place/?q=place_id:ChIJgSwaqWehDQ0RHIzczYu8Ua0
26WIMPI-S01FNDVN,True,,"28863 Fondovalle Province of Verbano-Cusio-Ossola, Italy",,Fondovalle,44.48488,10.8629,Fondovalle,1,,ChIJdXCQPuCPhUcRw5CrFh3on-A,Fondovalle,True,,2,find_place,OK,"Fondovalle, Italy",1/29/2021 17:22,1.0,"['locality', 'political']",46.3422566,8.4244805,https://www.google.com/maps/place/?q=place_id:ChIJdXCQPuCPhUcRw5CrFh3on-A
50WP00000000299J,True,,"4460 Moi, Norway",,Hylen,58.53761029999999,7.414505799999999,Hylen power plant,1,,ChIJ7bO-A0XpOUYR4VmU0u_bQRg,Hylen,True,,1,find_place,OK,"Hylen hydroelectric dam, Norway",1/29/2021 17:22,0.625,"['point_of_interest', 'establishment']",58.4653007,6.5439936,https://www.google.com/maps/place/?q=place_id:ChIJ7bO-A0XpOUYR4VmU0u_bQRg
17W100P100P0317G,True,,"38350 Cognet, France",,Pierre Cognet,,,Cognet,1,,ChIJZ8LwOqZ_ikcR4Hu-5CqrCAQ,Saint Pierre Cognet,True,,2,find_place,OK,"Pierre Cognet, France",1/29/2021 17:22,0.631578947368421,"['locality', 'political']",44.880763,5.777848,https://www.google.com/maps/place/?q=place_id:ChIJZ8LwOqZ_ikcR4Hu-5CqrCAQ
11WD4WEHR1HS---G,,,"Säckinger Str. 67, 79725 Laufenburg, Germany",,Schluchseewerk,,,Schluchseewerk AG,1,,ChIJx34yBNhFkEcRl-UB62z0pUw,Schluchseewerk,True,,1,find_place,OK,"Schluchseewerk Ag hydroelectric dam, Germany",1/29/2021 17:22,0.903225806,"['point_of_interest', 'establishment']",47.5573968,8.0454952,https://www.google.com/maps/place/?q=place_id:ChIJx34yBNhFkEcRl-UB62z0pUw
