word_string,word_type,retain_in_name,retain_in_keyword,English Meaning,Language,Vintage,Info source / Comment
ad,PREP,,,,,,
ag,COMP,,,,,ORIG,
airfield,SITE,,,,,,
albania,CNTRY,,,,,,
am,PREP,,,,,,
ampliacion,POW,,,extension,,,
and,PREP,,,,,,
ascoli,GEO,,1,,,ORIG,
at,PREP,,,,,,
austria,CNTRY,,,,,,
bad,SUB,,,,,,
belgium,CNTRY,,,,,,
bhkw,COMP,,,,,,
biogas,FUEL,,,,,,
biomasa,FUEL,,,,,,
biomass,FUEL,,,,,,
biomassa,POW,1,,,,ORIG,
bis,ABB,,,,,,
bosnia,CNTRY,,,,,,
brewery,SITE,,1,,,,
brindisi,GEO,,1,,,,
bulgaria,CNTRY,,,,,,
can,UNK,,,,,,
ccgt,TECH,,,,,,
center,POW,1,,,,,
central,GEO,,,,,,
centrale,GEO,,,,,ORIG,
centre,POW,1,,,,,
ceramica,SITE,,,ceramics,,,
ceramicas,SITE,,,,,,
cet,COMP,,,,,,
cg,UNK,,,???,,,
ch,CNTRY,,,Switzerland?,,,
chp,TECH,,,,,ORIG,
chpp,TECH,,,,,,
coal,FUEL,,,,,,
cogen,TECH,,,,,,
cogeneracion,TECH,,,cogeneration,Spanish,,
cogenerazione,TECH,,,cogeneration,Italian,,
combustion,POW,,,,,,
contrada,GEO,,,sub-division,Italian,ORIG,
croatia,CNTRY,,,,,,
cte,POW,,,thermoelectric power plant,,,Centrale termoelettrica
czech,CNTRY,,,,,,
da,PREP,,,,,,
dalkia,GEO,,1,,,,
dam,FUEL,,,,,,
dampfturbinenanlage,TECH,,,steam turbine plant,German,,
de,PREP,,,,,,
del,PREP,,,,,ORIG,
della,PREP,,,,,ORIG,
denmark,CNTRY,,,,,,
di,PREP,,,,,ORIG,
dimitrios,GEO,,1,,,,
discarica,UNK,1,1,,,,
do,PREP,,,,,,
dt,ABB,,,,,,
du,PREP,,,,,,
east,GEO,,,,,,
ec,UNK,,,,,ORIG,
edar,UNK,1,,,,,
edipower,OWN,,,,,,
edipower,OWN,,,,,,
edison,OWN,,,,,,
edison,OWN,,,,,,
eem,UNK,1,1,,,,
efw,ABB,,,,,,
el,PREP,,,,,,
en,UNK,,,England?,,,
endesa,OWN,,,,,,
enel,OWN,,,,,,
enel,OWN,,,,,,
energia,OWN,,,,,ORIG,
energia,POW,1,,,,,
energy,POW,1,,,,,
enge,UNK,,,,,,
enipower,POW,,,,,ORIG,
eolico,FUEL,,,wind power,Italian,,
erőmű,POW,1,,,,ORIG,
esc,ABB,,,,,ORIG,
estate,SITE,,,,,,
estonia,CNTRY,,,,,,
et,PREP,,,,,,
extension,UNK,,,,,,
factory,SITE,,,,,,
farm,FUEL,,,,,,tends to indicate 'wind farm'
fenosa,OWN,,,,,,
finland,CNTRY,,,,,,
france,CNTRY,,,,,,
fw,ABB,,,,,,
gas,FUEL,,,,,,
gasnatural,OWN,,,,,,
gemeinschaftskernkraftwerk,FUEL,,,community nuclear power plant,,,
generating,POW,,,,,,
generator,POW,,,,,,
germany,CNTRY,,,,,,
gkn,ABB,,,,,,
gr,UNK,,,Greece?,,,
grand,SUB,,,,,,
